iter	RMSE
0	13.69113286
1	13.2694029
2	12.81785516
3	12.4168276
4	11.99316654
5	11.60313703
6	11.21123116
7	10.83320371
8	10.48729797
9	10.13378191
10	9.801054592
11	9.47158368
12	9.179489704
13	8.878463215
14	8.616111389
15	8.328597936
16	8.083108817
17	7.848388007
18	7.593892431
19	7.360974567
20	7.126016257
21	6.901810774
22	6.68644299
23	6.477557549
24	6.284731759
25	6.08299356
26	5.901204252
27	5.715563263
28	5.546245285
29	5.373824738
30	5.212573267
31	5.040705412
32	4.8978606
33	4.741464585
34	4.589056276
35	4.457042177
36	4.317012244
37	4.186041828
38	4.064371594
39	3.949668679
40	3.829728448
41	3.717717043
42	3.606661378
43	3.499694844
44	3.397907141
45	3.289740478
46	3.192422741
47	3.094815861
48	2.999743386
49	2.912164992
50	2.825578592
51	2.741421673
52	2.666425382
53	2.596065802
54	2.519681925
55	2.446243736
56	2.378759604
57	2.322678197
58	2.257952625
59	2.19823121
60	2.135614062
61	2.075132888
62	2.018331323
63	1.96316594
64	1.910149314
65	1.858450021
66	1.8131673
67	1.764294737
68	1.717039629
69	1.672004642
70	1.627977884
71	1.588020584
72	1.551539893
73	1.512988355
74	1.477775159
75	1.439085744
76	1.404864536
77	1.373407567
78	1.343260706
79	1.315509299
80	1.285416475
81	1.25698395
82	1.228011971
83	1.201769558
84	1.176063609
85	1.151167087
86	1.12992655
87	1.107467058
88	1.084820641
89	1.062044163
90	1.041056449
91	1.019714533
92	1.00049198
93	0.9818100368
94	0.9645101192
95	0.9478170862
96	0.9333982516
97	0.9171029487
98	0.9011876632
99	0.8845241428
100	0.8694497512
101	0.8563195032
102	0.8424126128
103	0.8303637409
104	0.8181017555
105	0.8063065185
106	0.7940247294
107	0.7812326292
108	0.7697008623
109	0.7590527825
110	0.748276971
111	0.7381182088
112	0.7287635121
113	0.720435159
114	0.7117721804
115	0.7036146773
116	0.6960489189
117	0.6878856682
118	0.680428397
119	0.6753995059
120	0.6687082745
121	0.6625373675
122	0.6560410593
123	0.6491670174
124	0.6441406824
125	0.6393315279
126	0.6339730543
127	0.6278948002
128	0.622484158
129	0.617263584
130	0.6119253229
131	0.6076340189
132	0.6043417225
133	0.5993390033
134	0.5944615314
135	0.5902095328
136	0.5858521282
137	0.5817402281
138	0.578589299
139	0.5740598276
140	0.5723985282
141	0.5693731819
142	0.565206403
143	0.5614548728
144	0.5576381221
145	0.5545867199
146	0.5515446179
147	0.5497423959
148	0.5468074834
149	0.5457806617
150	0.543046624
151	0.5401626782
152	0.5388658334
153	0.5370316304
154	0.5351364516
155	0.5325761959
156	0.5315416925
157	0.5305861758
158	0.5284462714
159	0.5269163426
160	0.5253187477
161	0.5227467545
162	0.5219911022
163	0.5197129923
164	0.5184630128
165	0.5164292848
166	0.5155532057
167	0.5145765317
168	0.5137354788
169	0.5126172967
170	0.5118597674
171	0.5103965247
172	0.5096929788
173	0.5076990452
174	0.5066819207
175	0.5057993359
176	0.5051752656
177	0.5041462568
178	0.5031724139
179	0.5024431112
180	0.5014560673
181	0.5004619657
182	0.4999371491
183	0.4979054141
184	0.4972876941
185	0.4965373745
186	0.495779157
187	0.4946959666
188	0.494043192
189	0.4934861084
190	0.4929214308
191	0.4919220907
192	0.4913015154
193	0.4896378196
194	0.4889021209
195	0.4875633602
196	0.485415755
197	0.4849871812
198	0.4831079656
199	0.4824807053
200	0.4820474739
201	0.4816807378
202	0.4796419643
203	0.47884425
204	0.4783340998
205	0.4779662091
206	0.4775045994
207	0.4771243005
208	0.4763451315
209	0.475676016
210	0.4750548184
211	0.4746217814
212	0.4742175482
213	0.4736391589
214	0.47226198
215	0.4719156544
216	0.4715221651
217	0.4703440772
218	0.4698779959
219	0.4677997108
220	0.4674344105
221	0.4654787591
222	0.4651393534
223	0.4648363401
224	0.4635169683
225	0.4631438524
226	0.4627455699
227	0.4624819592
228	0.4608380647
229	0.4605723609
230	0.4601214391
231	0.4598269006
232	0.4583836742
233	0.457157059
234	0.456914764
235	0.4552095797
236	0.4549137746
237	0.453576005
238	0.4530265486
239	0.4527696647
240	0.4525188031
241	0.4511921458
242	0.4490645409
243	0.4488281149
244	0.4471585992
245	0.4469302569
246	0.4456487942
247	0.4453238653
248	0.4439356206
249	0.4435716308
250	0.4433631153
251	0.4417685135
252	0.4414207649
253	0.4412228389
254	0.4394268306
255	0.4379542119
