iter	Passed	Remaining
0	7	7476
1	9	4629
2	11	3772
3	13	3402
4	15	3034
5	16	2741
6	18	2602
7	20	2509
8	21	2377
9	22	2275
10	24	2215
11	26	2196
12	27	2120
13	29	2052
14	30	2002
15	31	1958
16	34	1980
17	35	1957
18	37	1932
19	38	1905
20	40	1890
21	42	1869
22	43	1848
23	45	1832
24	46	1813
25	48	1815
26	49	1796
27	51	1784
28	53	1793
29	55	1783
30	57	1783
31	58	1775
32	59	1754
33	61	1743
34	62	1728
35	64	1722
36	65	1713
37	67	1702
38	69	1706
39	71	1723
40	74	1738
41	75	1733
42	77	1724
43	79	1719
44	81	1722
45	82	1719
46	84	1710
47	85	1698
48	87	1693
49	88	1688
50	90	1681
51	91	1671
52	93	1664
53	94	1661
54	96	1656
55	100	1696
56	108	1800
57	110	1797
58	112	1789
59	113	1781
60	115	1772
61	117	1778
62	119	1773
63	120	1765
64	122	1757
65	123	1749
66	125	1745
67	127	1741
68	128	1733
69	129	1725
70	131	1717
71	133	1716
72	135	1714
73	136	1707
74	137	1699
75	139	1697
76	141	1693
77	142	1687
78	144	1680
79	145	1673
80	147	1669
81	148	1667
82	150	1661
83	152	1660
84	154	1658
85	156	1661
86	157	1658
87	159	1651
88	160	1647
89	162	1645
90	164	1641
91	165	1636
92	167	1631
93	168	1626
94	170	1623
95	172	1621
96	173	1615
97	175	1610
98	176	1605
99	178	1602
100	179	1599
101	181	1596
102	182	1592
103	184	1591
104	186	1589
105	188	1587
106	189	1582
107	190	1577
108	192	1572
109	194	1573
110	196	1571
111	197	1568
112	199	1564
113	200	1561
114	202	1559
115	203	1552
116	205	1547
117	206	1542
118	208	1541
119	210	1541
120	211	1536
121	212	1531
122	214	1530
123	216	1529
124	218	1527
125	219	1523
126	220	1518
127	222	1516
128	224	1517
129	226	1514
130	227	1510
131	228	1505
132	231	1506
133	232	1505
134	234	1501
135	235	1498
136	237	1497
137	240	1499
138	241	1495
139	242	1491
140	243	1483
141	244	1479
142	246	1479
143	248	1477
144	249	1472
145	251	1469
146	252	1466
147	254	1465
148	256	1462
149	257	1456
150	257	1450
151	259	1446
152	261	1444
153	262	1442
154	263	1438
155	265	1434
